,nuevo_indice,Title,Synopsis,Genero,Rating,Popularity,Vote Count,Original Language,Origin Country,First Air Date,In production,Status,Number of Season,Number of Episodes,Episode Duration,Cast,release_year,num_nominaciones,win,num_emmys
0,28,tmz,"Based on the popular gossip website, this entertainment newsmagazine delivers daily updates on Hollywood's rich, beautiful and screwed-up. The program often shows highlights of the day's staff meeting during which reporters pitch ideas for stories to air that day.",Comedy,4.368,1288,19.0,English,United States,2007-09-10,True,Returning Series,5,672,30.0,Harvey Levin,2007,0.0,False,0.0
9,42,america says,"In this family-friendly game show, two teams face off to guess Americans' responses to questions covering a variety of topics.",Family,4.2,1119,14.0,English,United States,2018-06-18,True,Returning Series,6,495,25.0,John Michael Higgins,2018,0.0,False,0.0
10,47,grey's anatomy,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,Drama,8.2,1092,10370.0,English,United States,2005-03-27,True,Returning Series,21,440,43.0,Ellen Pompeo,2005,39.0,True,5.0
11,47,grey's anatomy,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,Drama,8.2,1092,10370.0,English,United States,2005-03-27,True,Returning Series,21,440,43.0,Chandra Wilson,2005,39.0,True,5.0
12,47,grey's anatomy,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,Drama,8.2,1092,10370.0,English,United States,2005-03-27,True,Returning Series,21,440,43.0,James Pickens Jr.,2005,39.0,True,5.0
13,47,grey's anatomy,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,Drama,8.2,1092,10370.0,English,United States,2005-03-27,True,Returning Series,21,440,43.0,Kevin McKidd,2005,39.0,True,5.0
14,47,grey's anatomy,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,Drama,8.2,1092,10370.0,English,United States,2005-03-27,True,Returning Series,21,440,43.0,Caterina Scorsone,2005,39.0,True,5.0
15,52,judge judy,"Judge Judy is an American arbitration-based reality court show presided over by retired Manhattan Family Court Judge Judith Sheindlin. The show features Sheindlin adjudicating real-life small claims disputes within a simulated courtroom set. All parties involved must sign contracts, agreeing to arbitration under Sheindlin. The series is in first-run syndication and distributed by CBS Television Distribution.

Judge Judy, which premiered on September 16, 1996, reportedly revitalized the court show genre. Only two other arbitration-based reality court shows preceded it, The People's Court and Jones and Jury. Sheindlin has been credited with introducing the ""tough"" adjudicating approach into the judicial genre, which has led to several imitators. The two court shows that outnumber Judge Judy's seasons, The People's Court and Divorce Court, have both lasted via multiple lives of production and shifting arbiters, making Sheindlin's span as a television arbiter the longest.",Drama,5.8,1051,88.0,English,United States,1996-09-16,False,Ended,25,1530,22.0,Judith Sheindlin,1996,0.0,False,0.0
16,52,judge judy,"Judge Judy is an American arbitration-based reality court show presided over by retired Manhattan Family Court Judge Judith Sheindlin. The show features Sheindlin adjudicating real-life small claims disputes within a simulated courtroom set. All parties involved must sign contracts, agreeing to arbitration under Sheindlin. The series is in first-run syndication and distributed by CBS Television Distribution.

Judge Judy, which premiered on September 16, 1996, reportedly revitalized the court show genre. Only two other arbitration-based reality court shows preceded it, The People's Court and Jones and Jury. Sheindlin has been credited with introducing the ""tough"" adjudicating approach into the judicial genre, which has led to several imitators. The two court shows that outnumber Judge Judy's seasons, The People's Court and Divorce Court, have both lasted via multiple lives of production and shifting arbiters, making Sheindlin's span as a television arbiter the longest.",Drama,5.8,1051,88.0,English,United States,1996-09-16,False,Ended,25,1530,22.0,Petri Hawkins-Byrd,1996,0.0,False,0.0
17,52,judge judy,"Judge Judy is an American arbitration-based reality court show presided over by retired Manhattan Family Court Judge Judith Sheindlin. The show features Sheindlin adjudicating real-life small claims disputes within a simulated courtroom set. All parties involved must sign contracts, agreeing to arbitration under Sheindlin. The series is in first-run syndication and distributed by CBS Television Distribution.

Judge Judy, which premiered on September 16, 1996, reportedly revitalized the court show genre. Only two other arbitration-based reality court shows preceded it, The People's Court and Jones and Jury. Sheindlin has been credited with introducing the ""tough"" adjudicating approach into the judicial genre, which has led to several imitators. The two court shows that outnumber Judge Judy's seasons, The People's Court and Divorce Court, have both lasted via multiple lives of production and shifting arbiters, making Sheindlin's span as a television arbiter the longest.",Drama,5.8,1051,88.0,English,United States,1996-09-16,False,Ended,25,1530,22.0,Steven Kamer,1996,0.0,False,0.0
