,Title,Genero,Rating,Reviews,Cast,Lemmatized_reviews,Sentiment,Sentiment_Lemmatized
8,Squid Game,"Action & Adventure, Mystery, Drama",7.9,Just totally worth it.,"Lee Jung-jae, Lee Byung-hun, Yim Si-wan, Wi Ha-jun, Kang Ha-neul",totally worth .,0,0
8,Squid Game,"Action & Adventure, Mystery, Drama",7.9,"Visually excellent, the dark broody streets of run down neighbourhoods contrasted with the pastel, immaculate high contrast world of the game, Superbly cast and acted, the characters are well written, their desperation made palpable and importantly, all too believable. Kept me invested throughout with episode 6 being one of my favourite and  most emotionally resonant episodes of television I'd seen in a while. Goes a bit off the boil towards the end which was my least favourite part  and almost undoes some of the earlier good work but overall entertaining and thoroughly enjoyable.","Lee Jung-jae, Lee Byung-hun, Yim Si-wan, Wi Ha-jun, Kang Ha-neul","visually excellent , dark broody streets run neighbourhoods contrast pastel , immaculate high contrast world game , superbly cast act , character well write , desperation make palpable importantly , believable . keep invest throughout episode 6 one favourite emotionally resonant episodes television 'd see . go bite boil towards end least favourite part almost undo earlier good work overall entertain thoroughly enjoyable .",1,1
8,Squid Game,"Action & Adventure, Mystery, Drama",7.9,"A perfect opening and great second episode , is let down by below average follow up episodes , which are unable to achieve the tensions or intrigue presented in earlier episodes. It may be masterpiece for those who have find death game genre through squid game, but the series death game personally didn't do much for me because I have expirenced the games and tension and political commentary from superior servings such as Kaiji and thousands of other death battle manga, Liar Game being the best .

first two episode 10 and 9
middle episode rating average 6
Final episode 5(unnecessarily extending the stale concept)

Overall 6.1/10","Lee Jung-jae, Lee Byung-hun, Yim Si-wan, Wi Ha-jun, Kang Ha-neul","perfect open great second episode , let average follow episodes , unable achieve tensions intrigue present earlier episodes . may masterpiece find death game genre squid game , series death game personally n't much expirenced game tension political commentary superior servings kaiji thousands death battle manga , liar game best . first two episode 10 9 middle episode rat average 6 final episode 5 ( unnecessarily extend stale concept ) overall 6.1/10",-1,0
8,Squid Game,"Action & Adventure, Mystery, Drama",7.9,"extremely disappointing idea theft
So once there was ""The most dangerous game"" (you see ""game"" in the title?) where shipwreckes survivors are hunted by Count Zaroff and if they survive they're free. Then on the ""survive or win"" we have Cube, Saw, Death race, Hunger games, Battle royale (already the most ripped off in Squid Game, As the gods will (also extremely ripped off in Squid Game).
So here the theme is the bleak today's world where a father can't keep a job and gain money for his family. So an invite comes for a game where you can gain big money. But soon contestants die. My interest died at this point. But to have an opinion, I watched it til the end. There was a big reveal, wow that was the best they could do? 
So to be precise in the ripoffs. Battle Royale, teenagers are sent to an island and the sole survivor is freed. This is a GAME, there's rules, a duration, an objective. Same for SG, rules, objective, duration. As the gods will we have teenagers visited by a strange head sculpture that takes them hostage and makes them participate in various KIDS games where most will die. Does it describe Squid Game? Especially the ""kids"" games turned to horror adult death traps.
The directing and acting are average at best. I got fed upo with the father fast with his stunned face he does all the time.
Some design of the games is OK, but also close to As the gods will.
I put 1/10 for obvious steal of an already oversused idea (yeah Hunger Games was of the most horrible movies I've sen in my life).","Lee Jung-jae, Lee Byung-hun, Yim Si-wan, Wi Ha-jun, Kang Ha-neul","extremely disappoint idea theft `` dangerous game '' ( see `` game '' title ? ) shipwreck survivors hunt count zaroff survive 're free . `` survive win '' cube , saw , death race , hunger game , battle royale ( already rip squid game , gods ( also extremely rip squid game ) . theme bleak today 's world father ca n't keep job gain money family . invite come game gain big money . soon contestants die . interest die point . opinion , watch til end . big reveal , wow best could ? precise ripoffs . battle royale , teenagers send island sole survivor free . game , 's rule , duration , objective . sg , rule , objective , duration . gods teenagers visit strange head sculpture take hostage make participate various kid game die . describe squid game ? especially `` kid '' game turn horror adult death trap . direct act average best . get feed upo father fast stun face time . design game ok , also close gods . put 1/10 obvious steal already oversused idea ( yeah hunger game horrible movies 've sen life ) .",-1,-1
8,Squid Game,"Action & Adventure, Mystery, Drama",7.9,"Whilst not an entirely original idea, ""Squid Game"" is done with enough inspiration, to warrant at least, a look. 

That said, it took me quite some time to tune in. The idea didn't immediately appeal to me, as it did a lot of other viewers. I found the first season, creative, colourful and more than little disturbing. Of course, children's games combined with murder, was never going to be comfortable mix. 

I do believe season one is markedly better than the second go around. Season two offers more of the same, with less of the intrigue inherent in the first season. The introduction of blatant DEI content in season two, is something I could have well and truly done without, too.

In summary, I believe ""Squid Game"" is a one season hit. Having watched all of season one and most of season two, I see little to distinguish two from its predecessor.Give season one a go by all means but my personal belief is season two, adds little of value. I rate season one 7/10 and two 6/10. ","Lee Jung-jae, Lee Byung-hun, Yim Si-wan, Wi Ha-jun, Kang Ha-neul","whilst entirely original idea , `` squid game '' do enough inspiration , warrant least , look . say , take quite time tune . idea n't immediately appeal , lot viewers . find first season , creative , colourful little disturb . course , children 's game combine murder , never go comfortable mix . believe season one markedly better second go around . season two offer , less intrigue inherent first season . introduction blatant dei content season two , something could well truly do without , . summary , believe `` squid game '' one season hit . watch season one season two , see little distinguish two predecessor.give season one go mean personal belief season two , add little value . rate season one 7/10 two 6/10 .",1,1
8,Squid Game,"Action & Adventure, Mystery, Drama",7.9,"Masterpiece in every way! It's super interesting. Not a single dull moment in this show. 

However, in season 2, seems like liberal fascists infiltrated in this show and meddled with this it. So, we got transgender character who identifies himself as a ""woman""and goes to women restroom with the rest ladies. Others also refer to him as ""her"". I'm so tired from this crap. Man is man and woman is woman, period. No matter how many times you liberal fascists try to put your idiotism and dirty agenda into movies and shows, this fact will remain fact and you only enrage people more with your forced propaganda. This is why you lost in US elections and this is why you're going to lose more and more. Get used to it. You're a dying breed, leftists.

I'll still give this show 10/10, because show itself is a real masterpiece. Probabaly creators were forced to put this crap agenda in season 2, because season 1 was clean from it. Hopefully after January 20th, when Trump enters the office, we will see less and less propaganda in shows and movies. World is slowly waking up.","Lee Jung-jae, Lee Byung-hun, Yim Si-wan, Wi Ha-jun, Kang Ha-neul","masterpiece every way ! 's super interest . single dull moment show . however , season 2 , seem like liberal fascists infiltrate show meddle . , get transgender character identify `` woman '' go women restroom rest ladies . others also refer `` '' . 'm tire crap . man man woman woman , period . matter many time liberal fascists try put idiotism dirty agenda movies show , fact remain fact enrage people force propaganda . lose us elections 're go lose . get use . 're die breed , leftists . 'll still give show 10/10 , show real masterpiece . probabaly creators force put crap agenda season 2 , season 1 clean . hopefully january 20th , trump enter office , see less less propaganda show movies . world slowly wake .",-1,-1
18,Coronation Street,Soap,5.3,"If I were rating the Coronation Street classic shows from the 60s to the early 90s, I would give it 10 stars. For the last 30 years, however, it would garner more like 5 or 6 stars. This drama started out being fairly realistic, with humor and drama in equal measure, and a cast you pretty much like from top to bottom, and which tried to represent the people of northern England, (Manchester and thereabouts). There were low expectations for the show, but it took off and made rock stars ut of the performers. 

Now Coronation Street has become more like U.S. soap operas. Some people say it is the influence of the newer soap operas like East Enders, with its screamfests. So now there is less humor, fewer long-term characters, and murder, murder, murder.

So if you try the current iteration of Coronation Street and find you don't like it plots or pacing, track down some of the older shows and give them a whirl. You just might get hooked on them.",William Roache,"rat coronation street classic show 60s early 90s , would give 10 star . last 30 years , however , would garner like 5 6 star . drama start fairly realistic , humor drama equal measure , cast pretty much like top bottom , try represent people northern england , ( manchester thereabouts ) . low expectations show , take make rock star ut performers . coronation street become like u.s. soap operas . people say influence newer soap operas like east enders , screamfests . less humor , fewer long-term character , murder , murder , murder . try current iteration coronation street find n't like plot pace , track older show give whirl . might get hook .",-1,0
40,American Idol,Reality,5.078,"American idol, a season and series juggernaut, one of the most incredible and unique competitions to ever spark the world with the possibility of an unknown person becoming a mega star.

Randy, Paula and Simon, iconic names on their own, but even more when you combine them together. Randy Jackson was a music mogul, an individual who played for Mariah Carey, and a legend in his own right. Paula Abdul music icon from the 80s, one of the biggest selling artist and amazing choreographers ever to step foot on a stage. And then Simon Cowell, the ruthless, aggressive and honest individual that America fell in love with. And has went on to become one of the Biggest Music executive directors in the world.

I’m going to captivate all seasons in this one review, so this is going to be a long one, so enjoy. 

Season one, what an incredible journey, a show that you did not think was going to last let alone become such a mega hit that it became. But more importantly, you had to have the right winner. With America voting did we get the right winner? America selected the quiet yet powerful vocals of Kelly Clarkson. Kelly Clarkson went on to solidify the show as a mega superpower. When she became a Grammy award-winning artist, television actress, movie actress, and she is now has a syndicated talk show. Kelly Clarkson went on to sell millions of albums, worldwide and even placed, second place in Idol against all the other idol competitions around the world.

Season two was the biggest controversial season we saw to date trying to follow up with the success of the first season, we awarded Ruben Studdard, the winner of American idol with a bunch of controversy, whether or not Clay Aiken should’ve been the one to go onto the show. Either way, both men came out of the successful and not only did the two men come out successful. Kimberly called well became in Household, hosting and becoming an actress.

Season three delivered Fantasia Barrino, one of the most underrated incredible voices in the world. Her voice is so unique and iconic. She went onto also become a Grammy award winner and best selling R&B artist. She also stemmed Jennifer Hudson and Oscar winning and Grammy winning artist as well from that season who plays seventh place. This showed American idol was not just focused on the winner, but the people from the top 12 also had an opportunity to become super successful. From the season alone we also got Deanna Degarmo who went to become a Broadway legend.. 

Season four, we got the greatest and legendary country singer in Carrie Underwood. She brought the fire and tore that season apart. She was a young lady who did not know anything and never had been on a plane. To go on and become a multi time, Grammy award winning artist and mega power, and now she sits at the table as one of the judges for American idol. 

Season five became the new controversy, after season two and season three brought us severe controversy season five hit us even harder. Taylor Hicks took home the title of American Idol during this season, and ended up failing as a credible winner. Not being able to hold up to the four before him. All four artists before him either are Grammy winners or Grammy nominated artist. Taylor could not live up to those expectations and standards. His fourth finisher Chris Daughtry went to be a Grammy award-winning rockstar. Which is the person everyone thought was going to win this show. Catherine McVie became an actress and Elliott Yamin pulled out a great singing career as well. we also got the Grammy award winning Christian artist Mandisa, and we got country artist of Bucky Covington and country superstar Kellie Pickler. Season five may have had the wrong winner, but it had the most incredible group of top 12. 

Season six, we got NFL football players, daughter Jordon Sparks as the winner youngest winner at that time. She went on to become also a Grammy nominated artist, keeping the trend alive that success can come from the show. We also got the boxing talents of Blake Lewis, and a few other individuals who stemmed from the show, but didn’t make it to the superstardom level.

Season seven we started to the show out with one of the most incredible finale battles. We’ve seen in a long time David versus David , two different individuals. One rocker and one gospel singer. The older David, David Cook came out on top as he prevailed the rocker of the season. He went on to sell multiple albums, but still never reached the stardom of five of his predecessors. He still had a very successful career, but it was never a megastar career.

During our season, eight journey, American idol decided to spice things up by adding a fourth judge. Kara Diaguardi and she brought a lot of controversy between Simon and herself. After seven years of being the three they are now the four. Kris Allen captured the title of season eight, with one of the most controversial wins of all time. Front runner and expected winner. Adam Lambert went on to become a star in his own right, but was believed to be the actual winner of the show. But America was not ready for an LGBT winner. Especially someone who was completely open about their sexuality. Now American Idol served a little differently than it normally did you may have got a few people to have minor success after the show. But by this time, if you weren’t the winner, you barely got any success afterwards and that didn’t even mean if you got success. Unfortunately, he may have won the competition but he did just as bad as the previous winner from season five.

We move onto season nine still with the same set of judges, Lee Dewyze wins the title in the most forgettable, unsuccessful, and unpopular season ever. America was not fond of the singer, songwriter, crooner season, that transpired from dispatch. The only thing we got from this was gospel singer Colton Dixon, which to be honest with you, he might’ve actually came from a different season, they also attempted to spice things up just a little more, by replacing longtime judge Paula Abdul with Ellen DeGeneres. Ellen did not work out, she hated everything about judging people, and quit the show immediately after.

Season 10, we return to a three judges panel. With Ellen DeGeneres quitting and American idol not renewing Kara‘s contract, and then Simon Cowell exiting the show. We were left up in the air with the judges panel. They brought on Steven Tyler from Aerosmith and Latin legend, Jennifer Lopez. This season saw the winner of Scotty McCreery, who went on to become a country superstar, but not only that he also was the first in a long time where the runner-up went on to be a country superstar in Lauren Alaina. America and American idol were back on top.

We moved into season 11 with the same judges Randy, Jennifer,Steven and what a group they turned out to be, funny and hilarious and great judges. We saw the coronation of Philip Phillips, who went on to have one of the greatest singles of all time. And even had it as the Olympics theme song for that year. Philip had struggled afterwards to captivate and connect with the audience. Which put him in the same boat as Taylor, David, Kris and Lee. But the American Idol team was helpful.

We moved on to season 12 this season saw the departure of Steven Tyler and Jennifer Lopez as judges. And brought in Keith Urban, Nicki Minaj and Mariah Carey. Unfortunately, for this season, Nikki and Mariah could not get along. The fighting, the continued arguments and bantering back-and-forth, took away from the contestants, and took away from their singing, and what the competition in the show was all about, and it turned into a dramatic all out mess. This season we got the winner of Candice Glover, who went on to do nothing, she became one of those forgotten winners, and one of the most failed American Idol winner of all time at this moment. She did release an album, but it failed on the charts. And it was because I believe the focus was off of these individuals and more on the dramatics of the judges. So nobody grew to love them like you did the previous winners.

So we went on to season 14 of American Idol. At this time, American Idol did not invite Nick or Mariah back, and Randy Jackson decided to part ways. The company brought back Jennifer Lopez to join Keith Urban and then brought on Harry Connick Junior, these three became the saving Grace of at least the judges panel. But it was too late for the show. The show kept these judges for the next three seasons. This season we saw the winner Caleb Johnson who took Candice‘s spot as the worst American Idol winner of all time. His failed rocker vibe and music did not captivate or grab anyone’s attention. His album flocked American idol continue to go.

Season 14, we got the winner of NickFradiani personally he is one of my favorite winners, because his music is incredible and underrated. But to the general public, he didn’t sell as bad as the other two but he’s definitely in the bottom five. He did continue to go on to perform in local venues and push forward the best he could. But now it was a stain on the American idol winners, and I believe it stems from that toxic judges panel.

We moved onto season 15, the end of American idol. They brought back the winners and some fan favorites, had a huge celebration for all the years the show was on there. The judges all came back and everybody celebrated. As the winner, Trent Harmon took on the final title of American idol. And even though, it is the end, it did not give him the push. He thought he was going to get. And he once again with the American idol winners became a failed champion.

American idol stayed gone for over a year, and the general public did miss the show, so Walt Disney purchases the show and brings it back with a more positive and energetic flare. They brought it back with the worst voting system, date. The judges had more power than America, so they got to choose majority of who they’re putting in, when America is the one that should be choosing because we are the ones that buy the albums. I said since day one, this was going to be a failure, if they do not change it back to single elimination instead of group elimination. But American idol decided it was going to do its own thing and push on.

Katy Perry, Lionel Richie and Luke Bryan became the new judges of American Idol season 16 through 22

I’m gonna combine the seasons together for the most part, but I’m going to still give them their due and their credibility. Season 16 we saw the winner of Maddie Poppee who also was the wrong winner, because Gabby Barrett who worked third place in the show went on to be a country superstar and was the front runner the entire time. We finally got some thing from one of those shows, but it wasn’t the winner. Unfortunately, the winner went on to be a failed winner again.

Season 17 we saw Laine Hardy someone from previous season come back and capture the title. The Elvis look-alike young country megastar was going to be born, but American idol sat on his album debut, and sat on his music. To the point lane, then became a failed winner and gotten legal trouble, he’s making a return today as we speak. But it may be too late for the young country artist. 

Season 18 the pandemic season, the season that took place with everybody filming from their living room or their bedrooms. We watched as American idol still tried to keep this show relevant with everybody submitting their videos, the judges were on zoom, the contestants were on zoom and we continued to watch this show as just Sam, a young woman with financial issues captured the title. She had a beautiful voice and an incredible presence for someone who was never on the stage. Yet, American Idol dropped the ball with her completely, and she became the worst winner of all time. 
 
We moved onto season 19 when Chayce Beckham, captured the title, he went on to also be a failed winner and not successful in the world of music. He did have one song that slowly climb the charts, but never quite got anywhere. He was brought back many times on the show, but that was the only time you seen or heard of him. Yet, just Sam was still left off the show. And never took the stage.

Season 20 we got the winner of Noah Thompson, the wrong winner of American idol hands-down no questions asked. He captured the title of the show because he was extremely attractive. There was no way that America actually voted him in as the best singer, except they chose him based on his looks. And where did it get us another failed winner American idol is tarnished, I don’t see the show producing a mega star ever again. We have went through so much and yet we’ve gotten nowhere. 
 
But American idol continue to push forward with season 21, that’s when America finally saw firsthand. We claimed wrong winners in the past, but this was hands-down the wrong winner. Iam Tongi American idol’s first Hawaiian winner, went on to accomplish nothing. No music, no album and definitely no concerts. He was awarded the win on this show simply because of the passing of his parent, there is no way that this man beat half of the people that he was going up against. Unfortunately, the winners are final and they claim America’s vote. But this is the first time I questioned 100% whether or not, the show was rigged. They think they were going to get success from this person, no, they are not thinking, marketing wise, American idol went for a sympathetic run instead.

Season 22 another controversy strikes American Idol as Katy Perry the judge is called out for bullying a woman for having a baby and sex under age. Even though that is not what happened, we’re in a world of cancel culture. We’re in a world where people blow up social media and change things. So this will be the last season for Katie Perry as a judge. we went on to Crown the winner of Abi Carter, American idol, normally by this time has pushed their artist to be close to having an album, to get music out there and to captivate the world. But we have yet to see anything or hear anything from this young lady and it just looks like we’re gonna follow the same train of another failed winner.

Season 23 Carrie Underwood American idol. All they need is one mega star to come forward to reconnect the crowd and the audience and build up the history of these legendary winners from the past. Because we have not seen a single successful winner since season 10 and before season six. American Idol has more failed winners than they do champions.","Jennifer Lopez, Ryan Seacrest, Keith Urban, Harry Connick Jr.","american idol , season series juggernaut , one incredible unique competitions ever spark world possibility unknown person become mega star . randy , paula simon , iconic name , even combine together . randy jackson music mogul , individual play mariah carey , legend right . paula abdul music icon 80s , one biggest sell artist amaze choreographers ever step foot stage . simon cowell , ruthless , aggressive honest individual america fell love . go become one biggest music executive directors world . ’ go captivate season one review , go long one , enjoy . season one , incredible journey , show think go last let alone become mega hit become . importantly , right winner . america vote get right winner ? america select quiet yet powerful vocals kelly clarkson . kelly clarkson go solidify show mega superpower . become grammy award-winning artist , television actress , movie actress , syndicate talk show . kelly clarkson go sell millions albums , worldwide even place , second place idol idol competitions around world . season two biggest controversial season saw date try follow success first season , award ruben studdard , winner american idol bunch controversy , whether clay aiken ’ one go onto show . either way , men come successful two men come successful . kimberly call well become household , host become actress . season three deliver fantasia barrino , one underrate incredible voice world . voice unique iconic . go onto also become grammy award winner best sell r & b artist . also stem jennifer hudson oscar win grammy win artist well season play seventh place . show american idol focus winner , people top 12 also opportunity become super successful . season alone also get deanna degarmo go become broadway legend .. season four , get greatest legendary country singer carrie underwood . bring fire tear season apart . young lady know anything never plane . go become multi time , grammy award win artist mega power , sit table one judge american idol . season five become new controversy , season two season three bring us severe controversy season five hit us even harder . taylor hicks take home title american idol season , end fail credible winner . able hold four . four artists either grammy winners grammy nominate artist . taylor could live expectations standards . fourth finisher chris daughtry go grammy award-winning rockstar . person everyone think go win show . catherine mcvie become actress elliott yamin pull great sing career well . also get grammy award win christian artist mandisa , get country artist bucky covington country superstar kellie pickler . season five may wrong winner , incredible group top 12. season six , get nfl football players , daughter jordon spark winner youngest winner time . go become also grammy nominate artist , keep trend alive success come show . also get box talents blake lewis , individuals stem show , ’ make superstardom level . season seven start show one incredible finale battle . ’ see long time david versus david , two different individuals . one rocker one gospel singer . older david , david cook come top prevail rocker season . go sell multiple albums , still never reach stardom five predecessors . still successful career , never megastar career . season , eight journey , american idol decide spice things add fourth judge . kara diaguardi bring lot controversy simon . seven years three four . kris allen capture title season eight , one controversial win time . front runner expect winner . adam lambert go become star right , believe actual winner show . america ready lgbt winner . especially someone completely open sexuality . american idol serve little differently normally may get people minor success show . time , ’ winner , barely get success afterwards ’ even mean get success . unfortunately , may competition bad previous winner season five . move onto season nine still set judge , lee dewyze win title forgettable , unsuccessful , unpopular season ever . america fond singer , songwriter , crooner season , transpire dispatch . thing get gospel singer colton dixon , honest , might ’ actually come different season , also attempt spice things little , replace longtime judge paula abdul ellen degeneres . ellen work , hat everything judge people , quit show immediately . season 10 , return three judge panel . ellen degeneres quit american idol renew kara ‘ contract , simon cowell exit show . leave air judge panel . bring steven tyler aerosmith latin legend , jennifer lopez . season saw winner scotty mccreery , go become country superstar , also first long time runner-up go country superstar lauren alaina . america american idol back top . move season 11 judge randy , jennifer , steven group turn , funny hilarious great judge . saw coronation philip phillips , go one greatest single time . even olympics theme song year . philip struggle afterwards captivate connect audience . put boat taylor , david , kris lee . american idol team helpful . move season 12 season saw departure steven tyler jennifer lopez judge . bring keith urban , nicki minaj mariah carey . unfortunately , season , nikki mariah could get along . fight , continue arguments banter back-and-forth , take away contestants , take away sing , competition show , turn dramatic mess . season get winner candice glover , go nothing , become one forget winners , one fail american idol winner time moment . release album , fail chart . believe focus individuals dramatics judge . nobody grow love like previous winners . go season 14 american idol . time , american idol invite nick mariah back , randy jackson decide part ways . company bring back jennifer lopez join keith urban bring harry connick junior , three become save grace least judge panel . late show . show keep judge next three season . season saw winner caleb johnson take candice ‘ spot worst american idol winner time . fail rocker vibe music captivate grab anyone ’ attention . album flock american idol continue go . season 14 , get winner nickfradiani personally one favorite winners , music incredible underrate . general public , ’ sell bad two ’ definitely bottom five . continue go perform local venues push forward best could . stain american idol winners , believe stem toxic judge panel . move onto season 15 , end american idol . bring back winners fan favorites , huge celebration years show . judge come back everybody celebrate . winner , trent harmon take final title american idol . even though , end , give push . think go get . american idol winners become fail champion . american idol stay go year , general public miss show , walt disney purchase show bring back positive energetic flare . bring back worst vote system , date . judge power america , get choose majority ’ put , america one choose ones buy albums . say since day one , go failure , change back single elimination instead group elimination . american idol decide go thing push . katy perry , lionel richie luke bryan become new judge american idol season 16 22 ’ gon na combine season together part , ’ go still give due credibility . season 16 saw winner maddie poppee also wrong winner , gabby barrett work third place show go country superstar front runner entire time . finally get thing one show , ’ winner . unfortunately , winner go fail winner . season 17 saw laine hardy someone previous season come back capture title . elvis look-alike young country megastar go bear , american idol sit album debut , sit music . point lane , become fail winner get legal trouble , ’ make return today speak . may late young country artist . season 18 pandemic season , season take place everybody film live room bedrooms . watch american idol still try keep show relevant everybody submit videos , judge zoom , contestants zoom continue watch show sam , young woman financial issue capture title . beautiful voice incredible presence someone never stage . yet , american idol drop ball completely , become worst winner time . move onto season 19 chayce beckham , capture title , go also fail winner successful world music . one song slowly climb chart , never quite get anywhere . bring back many time show , time see hear . yet , sam still leave show . never take stage . season 20 get winner noah thompson , wrong winner american idol hands-down question ask . capture title show extremely attractive . way america actually vote best singer , except choose base look . get us another fail winner american idol tarnish , ’ see show produce mega star ever . go much yet ’ get nowhere . american idol continue push forward season 21 , ’ america finally saw firsthand . claim wrong winners past , hands-down wrong winner . iam tongi american idol ’ first hawaiian winner , go accomplish nothing . music , album definitely concert . award win show simply pass parent , way man beat half people go . unfortunately , winners final claim america ’ vote . first time question 100 % whether , show rig . think go get success person , , think , market wise , american idol go sympathetic run instead . season 22 another controversy strike american idol katy perry judge call bully woman baby sex age . even though happen , ’ world cancel culture . ’ world people blow social media change things . last season katie perry judge . go crown winner abi carter , american idol , normally time push artist close album , get music captivate world . yet see anything hear anything young lady look like ’ gon na follow train another fail winner . season 23 carrie underwood american idol . need one mega star come forward reconnect crowd audience build history legendary winners past . see single successful winner since season 10 season six . american idol fail winners champion .",1,1
47,Grey'S Anatomy,Drama,8.2,Worst show ever. Shonda needs to stop right NOW.,"Ellen Pompeo, Chandra Wilson, James Pickens Jr., Kevin McKidd, Caterina Scorsone",worst show ever . shonda need stop right .,-1,-1
47,Grey'S Anatomy,Drama,8.2,"Yeah, it's like ER meets China Beach, and, as my dad classically said about China Beach ""I don't remember Vietnam being anything like that.""

It's really who is dating who in a hospital setting and we have seen both before in a myriad of different settings.

Unfortunately, sexual tension is really all the tension here, it's the only source of actual drama. And after a season, it gets too much.","Ellen Pompeo, Chandra Wilson, James Pickens Jr., Kevin McKidd, Caterina Scorsone","yeah , 's like er meet china beach , , dad classically say china beach `` n't remember vietnam anything like . '' 's really date hospital set see myriad different settings . unfortunately , sexual tension really tension , 's source actual drama . season , get much .",0,0
